"","Sample Key","Mean Abs.","%RSD","Metal"
"1","0",5e-04,"HIGH","Cr"
"2","100",0.1086,"3.87","Cr"
"3","100",0.1161,"4.45","Cr"
"4","100",0.112,"1","Cr"
"5","1",4e-04,"HIGH","Cr"
"6","2",0.0105,"7.49","Cr"
"7","3",0.0226,"0.14","Cr"
"8","4",0.0584,"2.64","Cr"
"9","5",0.1149,"3.62","Cr"
"10","6",0.0086,"7.27","Cr"
"11","7",-0.0016,"6.84","Cr"
"12","8",0.0019,"HIGH","Cr"
"13","9",-0.0019,"11.08","Cr"
"14","10",-6e-04,"HIGH","Cr"
"15","11",-0.0017,"5.71","Cr"
"16","12",0.0017,"HIGH","Cr"
"17","13",0.0153,"3.18","Cr"
"18","14",0.0033,"12.15","Cr"
"19","15",0.016,"2.32","Cr"
"20","16",0.0039,"10.39","Cr"
"21","17",0.0206,"3.02","Cr"
"22","18",0.0029,"4.69","Cr"
"23","19",0.0209,"3.43","Cr"
"24","20",-0.002,"11.59","Cr"
"25","21",5e-04,"19.53","Cr"
"26","22",0.0072,"4.2","Cr"
"27","23",0.0143,"3.94","Cr"
"28","24",0.0188,"3.5","Cr"
"29","25",-0.0024,"10.59","Cr"
"30","26",0.0089,"8.18","Cr"
"31","27",0.0202,"1.79","Cr"
"32","28",-0.0018,"10.83","Cr"
"33","29",0.0096,"4.23","Cr"
"34","30",0.0222,"2.93","Cr"
"35","31",0.0643,"3.57","Cr"
"36","32",0.1266,"2.26","Cr"
"37","38",0.0111,"6.4","Cr"
"38","0",-0.0025,"17.26","Cr"
"39","39",0.0172,"2.01","Cr"
"40","40",0.0049,"4.45","Cr"
"41","41",0.0058,"1.64","Cr"
"42","42",-5e-04,"HIGH","Cr"
"43","43",-7e-04,"HIGH","Cr"
"44","44",0.0247,"2.39","Cr"
"45","45",0.0064,"2.38","Cr"
"46","46",0.0102,"4.06","Cr"
"47","47",0.0252,"1.36","Cr"
"48","48",0.0132,"4.62","Cr"
"49","49",-0.0012,"4.12","Cr"
"50","50",-0.0014,"HIGH","Cr"
"51","51",0.0027,"2.04","Cr"
"52","52",0.006,"4.14","Cr"
"53","53",0.0249,"4.56","Cr"
"54","54",0.0063,"3.31","Cr"
"55","55",-0.001,"HIGH","Cr"
"56","56",0.0068,"5.36","Cr"
"57","57",0.023,"3.42","Cr"
"58","58",0.0079,"2.8","Cr"
"59","59",0.0246,"1.06","Cr"
"60","60",-3e-04,"HIGH","Cr"
"61","61",0.0123,"3.82","Cr"
"62","62",0.0267,"2.5","Cr"
"63","63",0.0688,"2.43","Cr"
"64","64",0.1422,"1.72","Cr"
"65","0",-0.0012,"HIGH","Cr"
